class,"(1, 1)","(3, 1)","(5, 1)","(7, 1)","(9, 1)","(1, 3)","(3, 3)","(5, 3)","(7, 3)","(9, 3)","(1, 5)","(3, 5)","(5, 5)","(7, 5)","(9, 5)","(1, 7)","(3, 7)","(5, 7)","(7, 7)","(9, 7)","(1, 9)","(3, 9)","(5, 9)","(7, 9)","(9, 9)"
n01531178_1006,5.787778854370117,3.0077433586120605,4.753150939941406,5.237377166748047,6.461307525634766,4.700695991516113,3.315401554107666,3.7057814598083496,4.94107723236084,5.844889163970947,4.523780822753906,2.045240879058838,2.9970545768737793,4.3234543800354,5.71718168258667,5.799346923828125,4.730005264282227,5.135700225830078,5.218849182128906,6.7969560623168945,6.561212062835693,5.156028747558594,5.574187278747559,6.610116958618164,7.386960506439209
n01531178_10080,2.251905918121338,4.044858932495117,2.6561331748962402,3.584127902984619,4.953874588012695,1.051279067993164,2.590054988861084,2.017416477203369,1.8073973655700684,2.8475680351257324,0.21014785766601562,0.21477603912353516,0.25006866455078125,1.9666986465454102,0.4195413589477539,0.8465604782104492,0.1418905258178711,0.02570343017578125,0.0663299560546875,1.6241192817687988,1.7243547439575195,1.5354223251342773,0.42888545989990234,0.8853893280029297,3.3184103965759277
n01531178_10090,4.197503089904785,4.728525638580322,5.300845146179199,5.5982160568237305,5.753368854522705,4.1499247550964355,3.1053900718688965,4.157120227813721,5.081754207611084,5.60011625289917,5.171626091003418,5.2267231941223145,0.5040969848632812,5.428289890289307,5.785274982452393,5.538162708282471,5.815516948699951,6.4841790199279785,5.719795227050781,6.309558391571045,4.946932792663574,5.721195220947266,6.944363594055176,5.632742881774902,6.300445556640625
n01531178_1012,6.936983585357666,7.296285629272461,6.904999732971191,6.696016311645508,6.912384033203125,5.855296611785889,4.426435947418213,7.111419200897217,6.096122741699219,5.8392014503479,5.009152412414551,3.8058395385742188,5.923349380493164,5.4087018966674805,4.8530731201171875,5.66667366027832,5.8826141357421875,3.4974937438964844,4.348609447479248,6.277623176574707,6.686032295227051,5.890344619750977,2.9915666580200195,3.4349217414855957,5.646750450134277
n01531178_10178,3.1101064682006836,2.1731395721435547,2.0947256088256836,4.731237888336182,5.97910213470459,1.703277587890625,3.214397430419922,1.349808692932129,3.009856700897217,5.843952178955078,0.5381231307983398,0.5262718200683594,0.5006732940673828,1.387969970703125,4.877669334411621,0.14919281005859375,0.05273151397705078,0.31591129302978516,0.576268196105957,3.616586208343506,1.041743278503418,0.4243745803833008,0.40709781646728516,1.005960464477539,2.7178258895874023
n01531178_10224,5.181405544281006,3.8292832374572754,1.4452190399169922,3.6775078773498535,6.969664096832275,4.459671974182129,0.9284772872924805,0.7899398803710938,4.2655415534973145,7.501248359680176,3.8228564262390137,1.6847572326660156,1.9196510314941406,6.045790672302246,6.296502590179443,2.935634136199951,2.1478042602539062,3.5588207244873047,6.049086093902588,6.751821517944336,4.705658912658691,3.824263572692871,5.764269828796387,6.390341758728027,7.902950286865234
n01531178_10241,2.5476279258728027,2.390915870666504,3.407266139984131,4.1990814208984375,4.5755391120910645,0.027238845825195312,0.007925033569335938,1.0136089324951172,4.126255989074707,5.422146320343018,0.062160491943359375,0.000865936279296875,0.08711051940917969,0.8029851913452148,3.8920578956604004,2.5930399894714355,0.02529430389404297,0.013782501220703125,0.33308887481689453,2.734259605407715,4.5992021560668945,3.87532377243042,2.866497039794922,3.315122127532959,4.116729736328125
n01531178_10261,3.956939220428467,2.6350793838500977,2.5034871101379395,3.2669568061828613,2.8003315925598145,1.8598823547363281,0.26285362243652344,0.7572536468505859,1.1362895965576172,2.7390270233154297,2.238492012023926,0.1598520278930664,0.2871885299682617,0.567927360534668,2.243867874145508,2.9490323066711426,1.7311086654663086,1.4899415969848633,1.775517463684082,1.7141962051391602,3.968581199645996,2.9885735511779785,2.4308533668518066,2.906327724456787,2.648592472076416
n01531178_10263,4.7705206871032715,4.139915943145752,4.56605339050293,4.628040790557861,4.994434356689453,3.110344886779785,0.3544635772705078,0.7687101364135742,4.166374683380127,4.558022499084473,2.320448398590088,0.4530477523803711,0.3555908203125,2.2796449661254883,3.9482827186584473,3.9720377922058105,4.264493942260742,2.653811454772949,1.1649284362792969,3.97230863571167,4.778114318847656,5.393612384796143,5.207518577575684,4.904979228973389,5.1178483963012695
n01531178_10271,5.074901580810547,4.882080078125,4.39729642868042,4.329066753387451,4.735692977905273,4.362947940826416,2.385044574737549,1.976780891418457,3.5331835746765137,4.13472318649292,3.6430325508117676,0.024361610412597656,0.0050373077392578125,0.11535835266113281,0.9980497360229492,3.977715492248535,0.2171649932861328,0.04920482635498047,0.23239803314208984,0.08517837524414062,4.196138858795166,4.135497570037842,3.9745469093322754,2.9144930839538574,1.4292411804199219
n01531178_10306,6.44389533996582,5.774590492248535,4.939256191253662,4.860747337341309,4.408552646636963,5.903812408447266,1.743560791015625,0.20124340057373047,1.7946691513061523,1.7775964736938477,6.310479164123535,2.0039539337158203,1.7838373184204102,0.6491756439208984,1.8450250625610352,7.175617218017578,1.400125503540039,0.05679893493652344,0.49365806579589844,4.360720634460449,7.057643890380859,4.444092273712158,2.0681161880493164,3.758070945739746,5.682371139526367
n01531178_1043,4.033214092254639,2.552633285522461,1.1694574356079102,4.7690300941467285,5.091874599456787,1.283346176147461,0.11036872863769531,0.13823318481445312,3.5949769020080566,5.515069484710693,0.5582418441772461,0.013141632080078125,0.2189159393310547,3.8446102142333984,5.754580974578857,1.1743078231811523,0.03755474090576172,0.770695686340332,3.7742605209350586,4.746891498565674,3.0778212547302246,1.498636245727539,1.7923507690429688,3.3669838905334473,4.476886749267578
n01531178_10443,5.56866455078125,4.982221603393555,6.3943939208984375,6.472556114196777,5.687770843505859,5.130785942077637,4.5074663162231445,6.487993240356445,7.092413902282715,6.956229209899902,5.159109115600586,6.253127574920654,6.727108955383301,6.817844867706299,5.600381851196289,0.33373546600341797,1.830482006072998,6.1493940353393555,1.6112470626831055,2.257233142852783,1.6561565399169922,0.4261159896850586,5.730893611907959,4.041110992431641,0.708949089050293
n01531178_10450,5.102545261383057,5.232913017272949,5.9109039306640625,4.2117838859558105,6.040842056274414,5.637406349182129,5.8918890953063965,0.8010549545288086,0.19602394104003906,6.777706623077393,6.043938636779785,6.550638198852539,4.0137858390808105,2.9392309188842773,5.471426486968994,5.384325981140137,5.757535934448242,2.826559066772461,5.840393543243408,6.939582824707031,5.046130180358887,5.558813095092773,5.584924697875977,5.898462295532227,5.8518571853637695
