class,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(0, 4)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(1, 4)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(2, 4)","(3, 0)","(3, 1)","(3, 2)","(3, 3)","(3, 4)","(4, 0)","(4, 1)","(4, 2)","(4, 3)","(4, 4)"
n01531178_1006,5.78777885437012,3.00774335861206,4.75315093994141,5.23737716674805,6.46130752563477,4.70069599151611,3.31540155410767,3.70578145980835,4.94107723236084,5.84488916397095,4.52378082275391,2.04524087905884,2.99705457687378,4.3234543800354,5.71718168258667,5.79934692382813,4.73000526428223,5.13570022583008,5.21884918212891,6.79695606231689,6.56121206283569,5.15602874755859,5.57418727874756,6.61011695861816,7.38696050643921
n01531178_10080,2.25190591812134,4.04485893249512,2.65613317489624,3.58412790298462,4.9538745880127,1.05127906799316,2.59005498886108,2.01741647720337,1.80739736557007,2.84756803512573,0.210147857666016,0.214776039123535,0.250068664550781,1.96669864654541,0.419541358947754,0.846560478210449,0.141890525817871,0.025703430175781,0.066329956054688,1.6241192817688,1.72435474395752,1.53542232513428,0.428885459899902,0.88538932800293,3.31841039657593
n01531178_10090,4.19750308990479,4.72852563858032,5.3008451461792,5.59821605682373,5.75336885452271,4.14992475509644,3.1053900718689,4.15712022781372,5.08175420761108,5.60011625289917,5.17162609100342,5.22672319412231,0.504096984863281,5.42828989028931,5.78527498245239,5.53816270828247,5.81551694869995,6.48417901992798,5.71979522705078,6.30955839157105,4.94693279266357,5.72119522094727,6.94436359405518,5.6327428817749,6.30044555664063
n01531178_1012,6.93698358535767,7.29628562927246,6.90499973297119,6.69601631164551,6.91238403320313,5.85529661178589,4.42643594741821,7.11141920089722,6.09612274169922,5.8392014503479,5.00915241241455,3.80583953857422,5.92334938049316,5.40870189666748,4.85307312011719,5.66667366027832,5.88261413574219,3.49749374389648,4.34860944747925,6.27762317657471,6.68603229522705,5.89034461975098,2.99156665802002,3.4349217414856,5.64675045013428
n01531178_10178,3.11010646820068,2.17313957214355,2.09472560882568,4.73123788833618,5.97910213470459,1.70327758789063,3.21439743041992,1.34980869293213,3.00985670089722,5.84395217895508,0.53812313079834,0.526271820068359,0.500673294067383,1.38796997070313,4.87766933441162,0.149192810058594,0.052731513977051,0.315911293029785,0.576268196105957,3.61658620834351,1.04174327850342,0.424374580383301,0.407097816467285,1.00596046447754,2.7178258895874
n01531178_10224,5.18140554428101,3.82928323745728,1.44521903991699,3.67750787734985,6.96966409683228,4.45967197418213,0.92847728729248,0.789939880371094,4.26554155349731,7.50124835968018,3.82285642623901,1.68475723266602,1.91965103149414,6.04579067230225,6.29650259017944,2.93563413619995,2.14780426025391,3.5588207244873,6.04908609390259,6.75182151794434,4.70565891265869,3.82426357269287,5.76426982879639,6.39034175872803,7.90295028686523
n01531178_10241,2.5476279258728,2.3909158706665,3.40726613998413,4.19908142089844,4.57553911209106,0.027238845825195,0.007925033569336,1.01360893249512,4.12625598907471,5.42214632034302,0.062160491943359,0.000865936279297,0.08711051940918,0.802985191345215,3.8920578956604,2.59303998947144,0.025294303894043,0.013782501220703,0.333088874816895,2.73425960540771,4.59920215606689,3.87532377243042,2.86649703979492,3.31512212753296,4.11672973632813
n01531178_10261,3.95693922042847,2.6350793838501,2.50348711013794,3.26695680618286,2.80033159255981,1.85988235473633,0.262853622436523,0.757253646850586,1.13628959655762,2.73902702331543,2.23849201202393,0.159852027893066,0.287188529968262,0.567927360534668,2.24386787414551,2.94903230667114,1.73110866546631,1.48994159698486,1.77551746368408,1.71419620513916,3.968581199646,2.98857355117798,2.43085336685181,2.90632772445679,2.64859247207642
n01531178_10263,4.77052068710327,4.13991594314575,4.56605339050293,4.62804079055786,4.99443435668945,3.11034488677979,0.354463577270508,0.768710136413574,4.16637468338013,4.55802249908447,2.32044839859009,0.453047752380371,0.3555908203125,2.27964496612549,3.94828271865845,3.97203779220581,4.26449394226074,2.65381145477295,1.1649284362793,3.97230863571167,4.77811431884766,5.39361238479614,5.20751857757568,4.90497922897339,5.11784839630127
n01531178_10271,5.07490158081055,4.882080078125,4.39729642868042,4.32906675338745,4.73569297790527,4.36294794082642,2.38504457473755,1.97678089141846,3.53318357467651,4.13472318649292,3.64303255081177,0.024361610412598,0.005037307739258,0.115358352661133,0.998049736022949,3.97771549224854,0.217164993286133,0.049204826354981,0.23239803314209,0.085178375244141,4.19613885879517,4.13549757003784,3.97454690933228,2.91449308395386,1.42924118041992
n01531178_10306,6.44389533996582,5.77459049224854,4.93925619125366,4.86074733734131,4.40855264663696,5.90381240844727,1.74356079101563,0.20124340057373,1.79466915130615,1.77759647369385,6.31047916412354,2.00395393371582,1.78383731842041,0.649175643920898,1.84502506256104,7.17561721801758,1.40012550354004,0.056798934936524,0.493658065795898,4.36072063446045,7.05764389038086,4.44409227371216,2.06811618804932,3.75807094573975,5.68237113952637
n01531178_1043,4.03321409225464,2.55263328552246,1.16945743560791,4.76903009414673,5.09187459945679,1.28334617614746,0.110368728637695,0.138233184814453,3.59497690200806,5.51506948471069,0.558241844177246,0.013141632080078,0.218915939331055,3.8446102142334,5.75458097457886,1.17430782318115,0.037554740905762,0.770695686340332,3.77426052093506,4.74689149856567,3.07782125473022,1.49863624572754,1.79235076904297,3.36698389053345,4.47688674926758
n01531178_10443,5.56866455078125,4.98222160339356,6.39439392089844,6.47255611419678,5.68777084350586,5.13078594207764,4.50746631622314,6.48799324035645,7.09241390228272,6.9562292098999,5.15910911560059,6.25312757492065,6.7271089553833,6.8178448677063,5.60038185119629,0.333735466003418,1.830482006073,6.14939403533936,1.61124706268311,2.25723314285278,1.65615653991699,0.426115989685059,5.73089361190796,4.04111099243164,0.708949089050293
n01531178_10450,5.10254526138306,5.23291301727295,5.91090393066406,4.21178388595581,6.04084205627441,5.63740634918213,5.8918890953064,0.801054954528809,0.196023941040039,6.77770662307739,6.04393863677979,6.55063819885254,4.01378583908081,2.93923091888428,5.47142648696899,5.38432598114014,5.75753593444824,2.82655906677246,5.84039354324341,6.93958282470703,5.04613018035889,5.55881309509277,5.58492469787598,5.89846229553223,5.85185718536377
n01531178_10484,4.06334352493286,2.58360385894775,1.10921764373779,2.36126804351807,2.7822117805481,2.72585344314575,1.55167675018311,0.571726799011231,1.00339603424072,1.80733299255371,1.19014167785645,0.117566108703613,0.223275184631348,0.45805835723877,1.13831806182861,1.67691278457642,0.550563812255859,0.240859031677246,1.29976081848145,1.95206356048584,1.7686333656311,1.28845977783203,1.84615468978882,4.16841888427734,3.73139095306396
