class,"(1, 1)","(1, 3)","(1, 5)","(1, 7)","(1, 9)","(3, 1)","(3, 3)","(3, 5)","(3, 7)","(3, 9)","(5, 1)","(5, 3)","(5, 5)","(5, 7)","(5, 9)","(7, 1)","(7, 3)","(7, 5)","(7, 7)","(7, 9)","(9, 1)","(9, 3)","(9, 5)","(9, 7)","(9, 9)"
n01531178_1006,0.579164505004883,0.186333656311035,0.130497932434082,0.045639991760254,0.290610313415527,0.117558479309082,0.011331558227539,0.009279251098633,0.007595062255859,0.103872299194336,0.004779815673828,0.001096725463867,0.002218246459961,0.00105094909668,0.050708770751953,0.007392883300781,0.00208854675293,0.000946044921875,0.002954483032227,0.122735977172852,0.047104835510254,0.000349044799805,0.000465393066406,0.006422996520996,0.38459587097168
n01531178_10080,0.294148445129395,0.066319465637207,0.044556617736817,0.120820999145508,0.742923736572266,0.083750724792481,0.096024513244629,0.021331787109375,0.003818511962891,0.196001052856445,0.009681701660156,0.025566101074219,0.002384185791016,0.001882553100586,0.010416984558106,0.014005661010742,0.010766983032227,0.004917144775391,0.006092071533203,0.009703636169434,0.086629867553711,0.013351440429688,0.007322311401367,0.01024341583252,0.036290168762207
n01531178_10090,2.62755393981934,0.709190368652344,3.8728609085083,2.91446113586426,5.81245708465576,0.187310218811035,0.005067825317383,0.1033935546875,1.63509654998779,2.46692371368408,0.07047176361084,0.042521476745606,0.060999870300293,1.43079376220703,3.35664939880371,0.151712417602539,0.040853500366211,0.233397483825684,1.18364906311035,4.90069150924683,3.7126727104187,1.04931831359863,1.84040832519531,3.69446325302124,5.91911172866821
n01531178_1012,1.533616065979,2.13428401947021,1.61796951293945,1.79044723510742,2.79519748687744,1.41209125518799,1.24075794219971,0.981063842773438,1.03214740753174,1.7923641204834,0.867593765258789,0.766172409057617,0.68751335144043,0.970706939697266,1.29282283782959,1.12773513793945,1.58374977111816,1.3580322265625,1.11148643493652,1.33427047729492,1.39950180053711,1.2039966583252,1.02423763275146,1.21670722961426,0.958211898803711
n01531178_10178,0.151854515075684,0.197380065917969,0.443546295166016,0.427914619445801,0.518012046813965,0.121521949768066,0.639645576477051,0.61461067199707,0.336586952209473,0.381992340087891,0.131809234619141,0.408219337463379,0.622784614562988,0.153114318847656,0.140795707702637,0.156233787536621,0.612921714782715,0.308884620666504,0.145659446716309,0.0433349609375,0.117539405822754,0.305179595947266,0.088062286376953,0.033303260803223,0.043153762817383
n01531178_10224,0.029016494750977,0.006063461303711,0.003591537475586,0.010805130004883,0.0849609375,0.017367362976074,0.010534286499024,0.003368377685547,0.004402160644531,0.026288032531738,0.031033515930176,0.004146575927734,0.00723934173584,0.041447639465332,0.564187049865723,0.082141876220703,0.010488510131836,0.008573532104492,0.088414192199707,1.74531078338623,0.083366394042969,0.183734893798828,0.087201118469238,0.260374069213867,1.24995422363281
n01531178_10241,0.004568099975586,0.003400802612305,0.004415512084961,0.014719009399414,0.071374893188477,0.00218391418457,0.00163459777832,0.00560188293457,0.01264762878418,0.052301406860352,0.001373291015625,0.001106262207031,0.001901626586914,0.009466171264648,0.036994934082031,0.001750946044922,0.001089096069336,0.002388000488281,0.010608673095703,0.037508010864258,0.008033752441406,0.006439208984375,0.014078140258789,0.027122497558594,0.078596115112305
n01531178_10261,0.093656539916992,0.123250961303711,0.184520721435547,0.228559494018555,0.447336196899414,0.069118499755859,0.073211669921875,0.119358062744141,0.08348274230957,0.279163360595703,0.051717758178711,0.021720886230469,0.025070190429688,0.181411743164063,0.296073913574219,0.065824508666992,0.051544189453125,0.034795761108399,0.191902160644531,0.334407806396484,0.101533889770508,0.202156066894531,0.220495223999023,0.242179870605469,0.560832977294922
n01531178_10263,0.224164962768555,0.171990394592285,0.089854240417481,0.09727954864502,0.987146377563477,0.083203315734863,0.096048355102539,0.042021751403809,0.032636642456055,0.125598907470703,0.047544479370117,0.489184379577637,0.068876266479492,0.019346237182617,0.10556697845459,0.073801040649414,0.134785652160645,0.041547775268555,0.019609451293945,0.081159591674805,0.479336738586426,0.127498626708984,0.072970390319824,0.071085929870606,0.23275089263916
n01531178_10271,0.025678634643555,0.011715888977051,0.00337028503418,0.004377365112305,0.00999641418457,0.00792121887207,0.001855850219727,0.001041412353516,0.001283645629883,0.005287170410156,0.003969192504883,0.003384590148926,0.001426696777344,0.001518249511719,0.000770568847656,0.00593376159668,0.002313613891602,0.001298904418945,0.002439498901367,0.001094818115234,0.013495445251465,0.002799987792969,0.001644134521484,0.000852584838867,0.001243591308594
n01531178_10306,0.01414680480957,0.002815246582031,0.001352310180664,0.010478973388672,0.034950256347656,0.00346565246582,0.000247955322266,0.000741958618164,0.006155014038086,0.01104736328125,0.000284194946289,3.0517578125E-05,6.67572021484375E-05,0.000101089477539,0.001436233520508,0.000614166259766,0.000202178955078,7.43865966796875E-05,4.1961669921875E-05,0.000743865966797,0.00263786315918,0.000370025634766,9.5367431640625E-05,7.05718994140625E-05,0.001155853271484
n01531178_1043,0.087040901184082,0.04206657409668,0.022345542907715,0.075809478759766,0.22945499420166,0.033918380737305,0.019211769104004,0.001466751098633,0.02018928527832,0.196452140808106,0.079533576965332,0.017887115478516,0.002580642700195,0.05394458770752,0.334189414978027,0.100589752197266,0.016563415527344,0.01396369934082,0.09770679473877,0.500189781188965,0.154052734375,0.145781517028809,0.126317977905273,0.172299385070801,0.303443908691406
n01531178_10443,2.66601800918579,2.94252920150757,3.13507509231567,3.53346395492554,4.27965450286865,0.085579872131348,0.255992889404297,0.338604927062988,0.510719299316406,1.66217517852783,0.003049850463867,0.002283096313477,0.004783630371094,0.001541137695313,0.092254638671875,1.52587890625E-05,1.33514404296875E-05,7.62939453125E-06,0.000228881835938,0.002273559570313,0.000148773193359,6.67572021484375E-05,1.33514404296875E-05,0.000362396240234,0.012956619262695
n01531178_10450,7.59769773483276,5.90800523757935,5.49635219573975,5.83738565444946,6.02636289596558,4.66372632980347,6.47005367279053,6.12758827209473,5.25453615188599,6.60081195831299,3.61796236038208,5.91593027114868,5.10018873214722,3.44465970993042,6.73942613601685,5.18607187271118,4.77574491500855,3.00922727584839,0.721135139465332,5.27277994155884,5.07862663269043,4.71275854110718,3.52168607711792,2.17243099212646,4.2121901512146
n01531178_10484,0.006972312927246,0.00589656829834,0.00361442565918,0.003612518310547,0.00446891784668,0.002820014953613,0.001079559326172,0.000640869140625,0.002824783325195,0.003154754638672,0.00196647644043,0.000635147094727,0.000728607177734,0.002157211303711,0.006279945373535,0.001346588134766,0.001344680786133,0.000534057617188,0.001228332519531,0.003427505493164,0.00111198425293,0.000724792480469,0.000852584838867,0.000865936279297,0.004367828369141
n01531178_10553,0.030168533325195,0.010366439819336,0.006780624389648,0.009197235107422,0.017879486083984,0.004728317260742,0.002435684204102,0.003976821899414,0.001119613647461,0.008333206176758,0.003446578979492,0.005855560302734,0.003744125366211,0.001350402832031,0.004629135131836,0.001541137695313,0.001716613769531,0.00128173828125,0.001480102539063,0.005722045898438,0.037351608276367,0.002185821533203,0.004377365112305,0.005386352539063,0.022939682006836
n01531178_10565,0.002098083496094,0.000856399536133,0.001213073730469,0.001752853393555,0.015800476074219,0.000541687011719,0.000558853149414,0.001470565795898,0.00062370300293,0.003673553466797,0.000171661376953,0.000148773193359,0.000356674194336,0.000686645507813,0.002628326416016,0.000244140625,5.7220458984375E-05,0.000143051147461,0.000371932983398,0.005542755126953,0.005012512207031,0.000165939331055,0.00025749206543,0.000394821166992,0.007701873779297
n01531178_10581,0.007720947265625,0.00201416015625,0.005275726318359,0.046266555786133,0.335784912109375,0.00025749206543,0.000158309936523,0.000204086303711,0.017297744750977,0.060720443725586,0.000143051147461,0.000194549560547,9.1552734375E-05,0.001970291137695,0.046321868896484,0.0010986328125,0.000200271606445,0.000717163085938,0.003162384033203,0.011144638061524,0.011529922485352,0.010297775268555,0.008613586425781,0.152257919311523,0.203392028808594
n01531178_1059,0.003501892089844,0.000970840454102,0.001775741577148,0.007585525512695,0.044113159179688,0.002517700195313,0.000680923461914,0.000949859619141,0.004497528076172,0.019460678100586,0.002063751220703,0.002597808837891,0.002840042114258,0.009483337402344,0.025470733642578,0.000949859619141,0.00230598449707,0.008642196655273,0.046356201171875,0.047063827514649,0.004528045654297,0.008010864257813,0.01780891418457,0.026004791259766,0.085636138916016
n01531178_10609,0.291487693786621,0.319748878479004,0.234895706176758,0.271210670471191,0.283987045288086,0.11699104309082,0.122112274169922,0.051063537597656,0.063316345214844,0.233476638793945,0.070024490356445,0.017074584960938,0.018321990966797,0.052656173706055,0.160572052001953,0.0313720703125,0.006259918212891,0.008550643920898,0.079145431518555,0.172725677490234,0.035125732421875,0.028814315795899,0.018957138061524,0.042726516723633,0.066869735717774
