class,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(0, 4)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(1, 4)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(2, 4)","(3, 0)","(3, 1)","(3, 2)","(3, 3)","(3, 4)","(4, 0)","(4, 1)","(4, 2)","(4, 3)","(4, 4)"
n01531178_1006,1.5336742401123,0.714183807373047,0.633444786071777,1.06346797943115,2.02508735656738,1.22495460510254,0.132221221923828,0.317882537841797,0.474743843078613,1.72135496139526,0.529236793518066,0.045230865478516,0.109797477722168,0.354955673217773,1.38356399536133,0.50337028503418,0.076677322387695,0.071544647216797,0.280145645141602,1.41085910797119,1.13051795959473,0.047396659851074,0.032203674316406,0.860921859741211,2.19907808303833
n01531178_10080,0.102774620056152,0.090383529663086,0.026571273803711,0.08598518371582,0.096419334411621,0.012798309326172,0.000732421875,0.000423431396484,0.00367546081543,0.027240753173828,0.001983642578125,6.4849853515625E-05,4.38690185546875E-05,0.00050163269043,0.007131576538086,0.01214599609375,0.001152038574219,0.00111198425293,0.000831604003906,0.015179634094238,0.012933731079102,0.017084121704102,0.013946533203125,0.021882057189942,0.032987594604492
n01531178_10090,3.47568511962891,2.22439479827881,2.79316854476929,2.51513242721558,4.42899990081787,1.77665615081787,0.145289421081543,0.013097763061524,0.669910430908203,2.48659229278564,1.5034008026123,0.00300407409668,0.000358581542969,0.036674499511719,1.67786693572998,2.40796947479248,1.06042289733887,0.107875823974609,1.18893051147461,3.31696844100952,3.55792093276978,2.65272426605225,2.88597440719604,2.99847173690796,3.83863019943237
n01531178_1012,1.88416004180908,1.23434162139893,1.68939018249512,2.33592414855957,3.51822185516357,1.13680839538574,1.23947715759277,0.946134567260742,0.892893791198731,1.9967737197876,0.730806350708008,0.392307281494141,0.28819465637207,0.276933670043945,0.822837829589844,1.47875785827637,0.705377578735352,0.080844879150391,0.094850540161133,0.882673263549805,1.26181983947754,0.586635589599609,0.113914489746094,0.138706207275391,1.11289405822754
n01531178_10178,0.273288726806641,0.294313430786133,0.181503295898438,0.203365325927734,0.254983901977539,0.321771621704102,0.044185638427734,0.096088409423828,0.140960693359375,0.137298583984375,0.066171646118164,0.027133941650391,0.081354141235352,0.057483673095703,0.074872970581055,0.094137191772461,0.050737380981445,0.040603637695313,0.055866241455078,0.051836013793945,0.120710372924805,0.081504821777344,0.064510345458984,0.032598495483399,0.04240608215332
n01531178_10224,0.050812721252442,0.005290985107422,0.000810623168945,0.007135391235352,0.144550323486328,0.02564811706543,0.001686096191406,0.00044059753418,0.004594802856445,0.102384567260742,0.016302108764649,0.012166976928711,0.00224494934082,0.010486602783203,0.110071182250977,0.024614334106445,0.067913055419922,0.014759063720703,0.049253463745117,0.244626045227051,0.133664131164551,0.064794540405274,0.093719482421875,0.132996559143066,0.759628295898438
n01531178_10241,0.00019645690918,0.000164031982422,0.00023078918457,0.000827789306641,0.009212493896484,1.9073486328125E-05,9.5367431640625E-06,2.86102294921875E-05,9.72747802734375E-05,0.002382278442383,3.4332275390625E-05,3.814697265625E-06,1.9073486328125E-06,1.71661376953125E-05,0.001228332519531,0.000102996826172,1.9073486328125E-05,7.62939453125E-06,5.53131103515625E-05,0.001548767089844,0.000814437866211,0.000129699707031,0.000192642211914,0.000534057617188,0.005830764770508
n01531178_10261,0.097015380859375,0.036333084106445,0.043498992919922,0.12611198425293,0.167413711547852,0.004589080810547,0.000766754150391,0.006111145019531,0.030921936035156,0.132545471191406,0.004638671875,0.000391006469727,0.000604629516602,0.019889831542969,0.048673629760742,0.047574996948242,0.006303787231445,0.006618499755859,0.037952423095703,0.102838516235352,0.145782470703125,0.084970474243164,0.082481384277344,0.170816421508789,0.292182922363281
n01531178_10263,0.045516014099121,0.029474258422852,0.02043342590332,0.04304313659668,0.184728622436523,0.015035629272461,0.011262893676758,0.002521514892578,0.008550643920898,0.055825233459473,0.017839431762695,0.002298355102539,0.000514984130859,0.001008987426758,0.037117004394531,0.033926010131836,0.007743835449219,0.002788543701172,0.004556655883789,0.026666641235352,0.146340370178223,0.042741775512695,0.035318374633789,0.027944564819336,0.16634464263916
n01531178_10271,0.022468566894531,0.002761840820313,0.001249313354492,0.001188278198242,0.004720687866211,0.001747131347656,0.000152587890625,6.4849853515625E-05,9.1552734375E-05,0.000251770019531,0.000593185424805,5.14984130859375E-05,1.71661376953125E-05,3.0517578125E-05,4.38690185546875E-05,0.001163482666016,7.62939453125E-05,5.91278076171875E-05,2.47955322265625E-05,1.52587890625E-05,0.004222869873047,0.000343322753906,0.000101089477539,5.7220458984375E-05,2.47955322265625E-05
n01531178_10306,0.027933120727539,0.00213623046875,0.00013542175293,0.000400543212891,0.001182556152344,0.003971099853516,2.47955322265625E-05,1.9073486328125E-06,3.814697265625E-06,1.9073486328125E-05,0.000389099121094,7.62939453125E-06,0,0,1.33514404296875E-05,0.000211715698242,1.1444091796875E-05,1.9073486328125E-06,1.9073486328125E-06,0.000123977661133,0.002262115478516,2.288818359375E-05,9.5367431640625E-06,4.1961669921875E-05,0.003120422363281
n01531178_1043,0.023303985595703,0.004928588867188,0.006475448608398,0.022190093994141,0.095135688781738,0.00457763671875,0.000120162963867,0.000226974487305,0.002887725830078,0.048020362854004,0.001325607299805,7.82012939453125E-05,0.000299453735352,0.000862121582031,0.060223579406738,0.004423141479492,0.000310897827148,0.000326156616211,0.00346565246582,0.239150047302246,0.030222892761231,0.0076904296875,0.011154174804688,0.057370185852051,0.609708786010742
n01531178_10443,4.1101861000061,2.82145738601685,3.78768587112427,4.33080863952637,3.70288324356079,0.339168548583984,0.237729072570801,0.968910217285156,1.83296203613281,2.51363086700439,0.015802383422852,0.010422706604004,0.02255916595459,0.102521896362305,0.290624618530273,0.000146865844727,0.000101089477539,0.001668930053711,0.000114440917969,7.05718994140625E-05,0.000328063964844,0.000349044799805,0.000650405883789,0.000911712646484,0.000633239746094
n01531178_10450,2.65889167785645,1.56663703918457,2.61377906799316,2.62381792068481,2.54774522781372,1.67310237884521,1.10861778259277,1.31931495666504,0.792329788208008,1.98702335357666,2.09987163543701,0.937363624572754,0.440225601196289,0.267803192138672,1.65745258331299,3.93582153320312,0.794110298156738,0.202749252319336,0.37581729888916,2.39930725097656,5.43316459655762,2.44430923461914,1.39295673370361,1.65424251556396,2.84139966964722
n01531178_10484,0.039730072021484,0.004409790039063,0.001194000244141,0.002281188964844,0.011907577514649,0.004735946655273,0.000207901000977,0.000101089477539,0.000738143920898,0.009353637695313,0.003341674804688,0.000118255615234,1.1444091796875E-05,0.000219345092773,0.004201889038086,0.003643035888672,0.000808715820313,0.000202178955078,0.00050163269043,0.012903213500977,0.014236450195313,0.01036262512207,0.003879547119141,0.005170822143555,0.0308837890625
n01531178_10553,0.004304885864258,0.000228881835938,6.866455078125E-05,0.001630783081055,0.019838333129883,0.000505447387695,1.9073486328125E-06,0,1.1444091796875E-05,0.007036209106445,0.000278472900391,1.9073486328125E-06,0,1.9073486328125E-06,0.004936218261719,0.000875473022461,9.5367431640625E-06,1.9073486328125E-06,0.000125885009766,0.008293151855469,0.054952621459961,0.001392364501953,0.000614166259766,0.004505157470703,0.06281852722168
n01531178_10565,0.011722564697266,0.006370544433594,0.004806518554688,0.017688751220703,0.188760757446289,0.002571105957031,9.1552734375E-05,0.00018310546875,0.000991821289063,0.035783767700195,0.001110076904297,2.6702880859375E-05,1.52587890625E-05,0.00018310546875,0.006839752197266,0.001420974731445,3.0517578125E-05,1.1444091796875E-05,5.340576171875E-05,0.006801605224609,0.00566291809082,0.000123977661133,1.1444091796875E-05,0.000293731689453,0.03547477722168
n01531178_10581,1.96798706054688,1.53123378753662,1.25494289398193,2.12632274627686,2.52629661560059,0.002534866333008,0.001008987426758,0.030668258666992,0.44224739074707,2.2106237411499,3.4332275390625E-05,0,4.1961669921875E-05,0.008110046386719,0.36888313293457,0.000127792358398,7.62939453125E-06,3.62396240234375E-05,0.000213623046875,0.028573989868164,0.936625480651856,0.036094665527344,0.009532928466797,0.027193069458008,0.920610427856445
n01531178_1059,0.006166458129883,0.001081466674805,0.000604629516602,0.004322052001953,0.02564811706543,2.6702880859375E-05,5.7220458984375E-06,1.9073486328125E-05,0.000314712524414,0.009115219116211,2.09808349609375E-05,1.33514404296875E-05,6.4849853515625E-05,0.000226974487305,0.002004623413086,0.000238418579102,0.000341415405273,0.000694274902344,0.000463485717773,0.006704330444336,0.003261566162109,0.000791549682617,0.001256942749023,0.003633499145508,0.026966094970703
